init x,init y,init z,N,dt,elapsed_time_total
0.1,1.4000000000000001,1.0,40000,0.0023,3.676804000000004
beta,sigma,rho,time_elapsed
10.0,2.6666666666666665,6.0,0.6570427999999993
x,y,z
4.095,4.274,4.85
4.099,4.275,4.861
4.103,4.276,4.871
4.107,4.277,4.881
4.111,4.278,4.891
4.115,4.279,4.901
4.119,4.28,4.911
4.123,4.28,4.921
4.127,4.28,4.931
4.131,4.28,4.941
4.134,4.28,4.951
4.137,4.28,4.961
4.14,4.28,4.971
4.143,4.28,4.981
4.146,4.28,4.991
4.149,4.28,5.001
4.152,4.28,5.011
4.155,4.28,5.021
4.158,4.28,5.031
4.161,4.279,5.041
4.164,4.278,5.051
4.167,4.277,5.061
4.17,4.276,5.071
4.172,4.275,5.081
4.174,4.274,5.091
4.176,4.273,5.101
4.178,4.272,5.111
4.18,4.271,5.121
4.182,4.27,5.131
4.184,4.269,5.141
4.186,4.267,5.151
4.188,4.265,5.16
4.19,4.263,5.169
4.192,4.261,5.178
4.194,4.259,5.187
4.195,4.257,5.196
4.196,4.255,5.205
4.197,4.253,5.214
4.198,4.251,5.223
4.199,4.249,5.232
4.2,4.247,5.241
4.201,4.245,5.25
4.202,4.242,5.259
4.203,4.239,5.268
4.204,4.236,5.277
4.205,4.233,5.286
4.206,4.23,5.295
4.207,4.227,5.303
4.207,4.224,5.311
4.207,4.221,5.319
4.207,4.218,5.327
4.207,4.215,5.335
4.207,4.212,5.343
4.207,4.209,5.351
4.207,4.206,5.359
4.207,4.203,5.367
4.207,4.199,5.375
4.207,4.195,5.383
4.207,4.191,5.391
4.207,4.187,5.398
4.207,4.183,5.405
4.206,4.179,5.412
4.205,4.175,5.419
4.204,4.171,5.426
4.203,4.167,5.433
4.202,4.163,5.44
4.201,4.159,5.447
4.2,4.155,5.454
4.199,4.151,5.461
4.198,4.147,5.468
4.197,4.143,5.475
4.196,4.139,5.481
4.195,4.134,5.487
4.194,4.129,5.493
4.193,4.124,5.499
4.191,4.119,5.505
4.189,4.114,5.511
4.187,4.109,5.517
4.185,4.104,5.523
4.183,4.099,5.529
4.181,4.094,5.535
4.179,4.089,5.54
4.177,4.084,5.545
4.175,4.079,5.55
4.173,4.074,5.555
4.171,4.069,5.56
4.169,4.064,5.565
4.167,4.059,5.57
4.165,4.054,5.575
4.162,4.049,5.58
4.159,4.044,5.585
4.156,4.039,5.589
4.153,4.034,5.593
4.15,4.029,5.597
4.147,4.024,5.601
4.144,4.019,5.605
4.141,4.014,5.609
4.138,4.008,5.613
4.135,4.002,5.617
4.132,3.996,5.621
4.129,3.99,5.625
4.126,3.984,5.628
4.123,3.978,5.631
4.12,3.972,5.634
4.117,3.966,5.637
4.114,3.96,5.64
4.11,3.954,5.643
4.106,3.948,5.646
4.102,3.942,5.649
4.098,3.936,5.652
4.094,3.93,5.654
4.09,3.924,5.656
4.086,3.918,5.658
4.082,3.912,5.66
4.078,3.906,5.662
4.074,3.9,5.664
4.07,3.894,5.666
4.066,3.888,5.668
4.062,3.882,5.67
4.058,3.876,5.671
4.054,3.87,5.672
4.05,3.864,5.673
4.046,3.858,5.674
4.042,3.852,5.675
4.038,3.846,5.676
4.034,3.84,5.677
4.03,3.834,5.678
4.025,3.828,5.679
4.02,3.822,5.68
4.015,3.816,5.681
4.01,3.81,5.681
4.005,3.804,5.681
4.0,3.798,5.681
3.995,3.792,5.681
3.99,3.786,5.681
3.985,3.78,5.681
3.98,3.774,5.681
3.975,3.768,5.681
3.97,3.762,5.681
3.965,3.756,5.681
3.96,3.75,5.68
3.955,3.744,5.679
3.95,3.738,5.678
3.945,3.732,5.677
3.94,3.726,5.676
3.935,3.72,5.675
3.93,3.714,5.674
3.925,3.708,5.673
3.92,3.702,5.672
3.915,3.696,5.671
3.91,3.69,5.669
3.905,3.684,5.667
3.9,3.679,5.665
3.895,3.674,5.663
3.89,3.669,5.661
3.885,3.664,5.659
3.88,3.659,5.657
3.875,3.654,5.655
3.87,3.649,5.653
3.865,3.644,5.651
3.86,3.639,5.649
3.855,3.634,5.647
3.85,3.629,5.645
3.845,3.624,5.643
3.84,3.619,5.64
3.835,3.614,5.637
3.83,3.609,5.634
3.825,3.604,5.631
3.82,3.599,5.628
3.815,3.594,5.625
3.81,3.589,5.622
3.805,3.584,5.619
3.8,3.579,5.616
3.795,3.574,5.613
3.79,3.569,5.61
3.785,3.564,5.607
3.78,3.559,5.604
3.775,3.554,5.601
3.77,3.549,5.598
3.765,3.544,5.594
3.76,3.539,5.59
3.755,3.534,5.586
3.75,3.529,5.582
3.745,3.524,5.578
3.74,3.52,5.574
3.735,3.516,5.57
3.73,3.512,5.566
3.725,3.508,5.562
3.72,3.504,5.558
3.715,3.5,5.554
3.71,3.496,5.55
3.705,3.492,5.546
3.7,3.488,5.542
3.695,3.484,5.538
3.69,3.48,5.534
3.685,3.476,5.53
3.68,3.472,5.526
3.675,3.468,5.521
3.67,3.464,5.516
3.665,3.46,5.511
3.66,3.456,5.506
3.655,3.452,5.501
3.65,3.448,5.496
3.645,3.444,5.491
3.64,3.44,5.486
3.635,3.436,5.481
3.63,3.432,5.476
3.625,3.428,5.471
3.62,3.425,5.466
3.616,3.422,5.461
3.612,3.419,5.456
3.608,3.416,5.451
3.604,3.413,5.446
3.6,3.41,5.441
3.596,3.407,5.436
3.592,3.404,5.431
3.588,3.401,5.426
3.584,3.398,5.421
3.58,3.395,5.416
3.576,3.392,5.411
3.572,3.389,5.406
3.568,3.386,5.401
3.564,3.383,5.396
3.56,3.38,5.391
3.556,3.377,5.386
3.552,3.374,5.381
3.548,3.371,5.376
3.544,3.368,5.371
3.54,3.365,5.366
3.536,3.362,5.36
3.532,3.359,5.354
3.528,3.357,5.348
3.524,3.355,5.342
3.52,3.353,5.336
3.516,3.351,5.33
3.512,3.349,5.324
3.508,3.347,5.318
3.504,3.345,5.312
3.5,3.343,5.306
3.496,3.341,5.3
3.492,3.339,5.294
3.488,3.337,5.288
